key,change_point_window,scanner_id,symbol,trend_regime,volatility_regime,trades,net_bps,average_net_bps,median_net_bps,gross_bps,cost_bps,average_cost_bps,hit_rate,false_signal_rate,profit_factor,average_win_bps,average_loss_bps,average_mfe_bps,average_mae_bps,average_hold_seconds,average_hold_bars_1m,average_expected_net_bps,expectation_error_bps,same_bar_ambiguity_rate,win_rate,avg_net_bps,total_net_bps,avg_mfe_bps,avg_mae_bps,avg_hold_bars,average_net_standard_error_bps,average_net_ci95_low_bps,average_net_ci95_high_bps,average_net_uplift_vs_selection_bps,pct_of_selection_trades
00-30m | delta_imbalance_fade_v1 | BTCUSD | weak_trend | high,00-30m,delta_imbalance_fade_v1,BTCUSD,weak_trend,high,148,-444.82890232382647,-3.005600691377206,6.266373285370529,348.45109767617345,793.28,5.359999999999999,0.5067567567567568,0.49324324324324326,0.6762150079884202,12.38681994367541,18.819731480814827,17.71530976756343,14.974662472005791,111.48648648648648,1.8581081081081081,14.560410907958078,-17.566011599335283,0.013513513513513514,0.5067567567567568,-3.005600691377206,-444.82890232382647,17.71530976756343,14.974662472005791,1.8581081081081081,1.323145591966022,-5.598966051630609,-0.41223533112380295,3.277463878906335,0.9477459016393442
01-04h | delta_imbalance_fade_v1 | ETHUSD | weak_trend | high,01-04h,delta_imbalance_fade_v1,ETHUSD,weak_trend,high,158,-507.81241846920904,-3.2140026485392976,-15.24545850561351,339.06758153079085,846.8799999999999,5.359999999999999,0.4810126582278481,0.5189873417721519,0.6729387322297407,13.74789272845092,18.934783729652185,17.432756608296785,16.426617917237472,106.32911392405063,1.7721518987341771,14.943287258060133,-18.15728990659943,0.02531645569620253,0.4810126582278481,-3.2140026485392976,-507.81241846920904,17.432756608296785,16.426617917237472,1.7721518987341771,1.340065326645926,-5.840530688765313,-0.5874746083132827,3.069061921744243,1.011782786885246
30-60m | delta_momentum_burst_v1 | ETHUSD | range | medium,30-60m,delta_momentum_burst_v1,ETHUSD,range,medium,102,-390.46719761229696,-3.8281097805127153,-12.864362075397285,156.252802387703,546.7199999999999,5.359999999999999,0.43137254901960786,0.5686274509803921,0.571243739435104,11.823412942277098,15.701678742629126,19.505417188964124,12.679856766691334,90.58823529411765,1.5098039215686276,14.478797314023476,-18.30690709453619,0.0196078431372549,0.43137254901960786,-3.8281097805127153,-390.46719761229696,19.505417188964124,12.679856766691334,1.5098039215686276,1.4083447684125654,-6.588465526601343,-1.067754034424087,2.4549547897708255,0.6531762295081968
00-30m | delta_imbalance_fade_v1 | ETHUSD | strong_trend | high,00-30m,delta_imbalance_fade_v1,ETHUSD,strong_trend,high,342,-1426.736088366209,-4.171742948439208,-16.877574821913733,406.38391163379083,1833.12,5.359999999999999,0.43567251461988304,0.564327485380117,0.6339404070037943,16.582653266895644,20.194566969604455,23.945309066501697,22.485046804960415,106.84210526315789,1.780701754385965,19.56487380631993,-23.736616754759137,0.05263157894736842,0.43567251461988304,-4.171742948439208,-1426.736088366209,23.945309066501697,22.485046804960415,1.780701754385965,1.0130962500077711,-6.1574115984544395,-2.1860742984239767,2.1113216218443327,2.190061475409836
30-60m | delta_momentum_burst_v1 | ETHUSD | range | high,30-60m,delta_momentum_burst_v1,ETHUSD,range,high,174,-744.3727817099852,-4.278004492586122,-13.623478465771466,188.26721829001468,932.6399999999999,5.359999999999999,0.43103448275862066,0.5689655172413793,0.5457561957088949,11.924464460057337,16.552602183982682,18.981129970295353,14.376413777394367,76.20689655172414,1.2701149425287357,16.146690428013645,-20.424694920599766,0.034482758620689655,0.43103448275862066,-4.278004492586122,-744.3727817099852,18.981129970295353,14.376413777394367,1.2701149425287357,1.1068623626609773,-6.447454723401638,-2.108554261770607,2.0050600776974186,1.1142418032786885
01-04h | delta_imbalance_fade_v1 | ETHUSD | weak_trend | medium,01-04h,delta_imbalance_fade_v1,ETHUSD,weak_trend,medium,173,-746.4282147098407,-4.3146139578603515,-15.068560598233883,180.85178529015923,927.2799999999999,5.359999999999999,0.47398843930635837,0.5260115606936416,0.5599762822302423,11.584245202971434,18.64105847641207,15.269855995351623,15.160024291322797,113.75722543352602,1.8959537572254337,13.525268939386107,-17.839882897246458,0.005780346820809248,0.47398843930635837,-4.3146139578603515,-746.4282147098407,15.269855995351623,15.160024291322797,1.8959537572254337,1.1777453863200835,-6.622994915047715,-2.006233000672988,1.9684506124231893,1.1078381147540983
01-04h | delta_momentum_burst_v1 | BTCUSD | range | medium,01-04h,delta_momentum_burst_v1,BTCUSD,range,medium,115,-527.2696752607827,-4.5849536979198495,-12.80756701563154,89.13032473921723,616.4,5.359999999999999,0.4,0.6,0.4838704127105229,10.745961347236385,14.805563728024007,13.46347865902773,12.206454068905824,90.78260869565217,1.5130434782608695,12.733200844630655,-17.318154542550506,0.02608695652173913,0.4,-4.5849536979198495,-527.2696752607827,13.46347865902773,12.206454068905824,1.5130434782608695,1.200647039436612,-6.938221895215609,-2.23168550062409,1.6981108723636913,0.7364241803278689
30-60m | delta_imbalance_fade_v1 | ETHUSD | strong_trend | high,30-60m,delta_imbalance_fade_v1,ETHUSD,strong_trend,high,201,-925.2485830546569,-4.603226781366453,-17.13285099754566,152.11141694534302,1077.36,5.359999999999999,0.417910447761194,0.582089552238806,0.6048823493075542,16.862564486165667,20.01456410164592,19.919862250575765,20.20284834138653,105.67164179104478,1.7611940298507462,19.59251611364676,-24.19574289501321,0.03482587064676617,0.417910447761194,-4.603226781366453,-925.2485830546569,19.919862250575765,20.20284834138653,1.7611940298507462,1.3148766080155492,-7.18038493307693,-2.0260686296559762,1.6798377889170881,1.287141393442623
04h+ | delta_imbalance_fade_v1 | ETHUSD | weak_trend | high,04h+,delta_imbalance_fade_v1,ETHUSD,weak_trend,high,180,-894.2838856801147,-4.968243809333971,-15.88068504772241,70.51611431988513,964.8,5.359999999999999,0.43333333333333335,0.5666666666666667,0.5385042410483663,13.378339603811678,18.99798406644535,17.017224178011485,21.272425101363282,104.33333333333333,1.7388888888888887,15.52204678159721,-20.49029059093118,0.05,0.43333333333333335,-4.968243809333971,-894.2838856801147,17.017224178011485,21.272425101363282,1.7388888888888887,1.2318582315743376,-7.3826859432196725,-2.553801675448269,1.3148207609495701,1.1526639344262295
00-30m | delta_imbalance_fade_v1 | BTCUSD | strong_trend | high,00-30m,delta_imbalance_fade_v1,BTCUSD,strong_trend,high,135,-680.6107400533624,-5.041561037432314,-16.427540097055015,42.98925994663749,723.5999999999999,5.359999999999999,0.4444444444444444,0.5555555555555556,0.5411066450306776,13.375765492280214,19.775422261202337,17.715204999891423,19.36874684647507,101.33333333333333,1.6888888888888889,17.19808908864431,-22.23965012607663,0.022222222222222223,0.4444444444444444,-5.041561037432314,-680.6107400533624,17.715204999891423,19.36874684647507,1.6888888888888889,1.459267884117249,-7.901726090302121,-2.181395984562506,1.241503532851227,0.8644979508196722
30-60m | delta_momentum_burst_v1 | ETHUSD | weak_trend | high,30-60m,delta_momentum_burst_v1,ETHUSD,weak_trend,high,294,-1500.4627206943915,-5.103614696239426,-14.108701160719573,75.37727930560845,1575.84,5.359999999999999,0.3843537414965986,0.6156462585034014,0.5061832837379184,13.610960634556937,16.787299847510084,18.448439320669838,16.34082318793144,82.85714285714286,1.380952380952381,17.32071204311854,-22.424326739357966,0.027210884353741496,0.3843537414965986,-5.103614696239426,-1500.4627206943915,18.448439320669838,16.34082318793144,1.380952380952381,0.8907854464222794,-6.849554171227094,-3.3576752212517587,1.1794498740441144,1.882684426229508
