key,change_point_window,scanner_id,symbol,trend_regime,volatility_regime,trades,net_bps,average_net_bps,median_net_bps,gross_bps,cost_bps,average_cost_bps,hit_rate,false_signal_rate,profit_factor,average_win_bps,average_loss_bps,average_mfe_bps,average_mae_bps,average_hold_seconds,average_hold_bars_1m,average_expected_net_bps,expectation_error_bps,same_bar_ambiguity_rate,win_rate,avg_net_bps,total_net_bps,avg_mfe_bps,avg_mae_bps,avg_hold_bars,average_net_standard_error_bps,average_net_ci95_low_bps,average_net_ci95_high_bps,average_net_uplift_vs_selection_bps,pct_of_selection_trades
00-30m | delta_momentum_burst_v1 | ETHUSD | strong_trend | medium,00-30m,delta_momentum_burst_v1,ETHUSD,strong_trend,medium,115,-1027.671006405426,-8.936269620916747,-15.115227713120762,-411.2710064054259,616.4,5.359999999999999,0.25217391304347825,0.7478260869565218,0.2892287393543431,14.420080722261794,16.812248225011835,22.522805690574284,24.496479678006413,81.3913043478261,1.356521739130435,18.032124985279612,-26.96839460619636,0.10434782608695652,0.25217391304347825,-8.936269620916747,-1027.671006405426,22.522805690574284,24.496479678006413,1.356521739130435,1.3191151793125957,-11.521735372369434,-6.350803869464059,-2.653205050633206,0.7364241803278689
01-04h | delta_momentum_burst_v1 | BTCUSD | strong_trend | high,01-04h,delta_momentum_burst_v1,BTCUSD,strong_trend,high,104,-923.342501351385,-8.878293282224856,-14.069510811668597,-365.902501351385,557.4399999999999,5.359999999999999,0.2403846153846154,0.7596153846153846,0.2472714470887377,12.132726230971468,15.527350090198375,10.972784693438998,16.96422715743004,87.11538461538461,1.4519230769230769,14.207702787537935,-23.085996069762793,0.028846153846153848,0.2403846153846154,-8.878293282224856,-923.342501351385,10.972784693438998,16.96422715743004,1.4519230769230769,1.2063141719883534,-11.24266905932203,-6.513917505127683,-2.5952287119413153,0.665983606557377
04h+ | delta_momentum_burst_v1 | ETHUSD | strong_trend | low,04h+,delta_momentum_burst_v1,ETHUSD,strong_trend,low,115,-959.1947391003049,-8.340823818263521,-13.512526500470047,-342.794739100305,616.4,5.359999999999999,0.2608695652173913,0.7391304347826086,0.23369543620053304,9.750667621582123,14.726056091150218,13.97459897192238,14.93144842396952,82.95652173913044,1.382608695652174,12.283783541352518,-20.62460735961604,0.06956521739130435,0.2608695652173913,-8.340823818263521,-959.1947391003049,13.97459897192238,14.93144842396952,1.382608695652174,1.038440050971149,-10.376166318166973,-6.305481318360069,-2.0577592479799804,0.7364241803278689
30-60m | delta_momentum_burst_v1 | ETHUSD | strong_trend | high,30-60m,delta_momentum_burst_v1,ETHUSD,strong_trend,high,344,-2691.847735288584,-7.82513876537379,-15.324463903766596,-848.007735288584,1843.8399999999997,5.359999999999999,0.29651162790697677,0.7034883720930233,0.34887358539342994,14.14011993521384,17.083223011076015,18.20871988191163,20.178212061653145,82.15116279069767,1.369186046511628,18.780753583733283,-26.60589234910707,0.06395348837209303,0.29651162790697677,-7.82513876537379,-2691.847735288584,18.20871988191163,20.178212061653145,1.369186046511628,0.7969720224855492,-9.387203929445466,-6.263073601302113,-1.5420741950902492,2.2028688524590163
30-60m | delta_momentum_burst_v1 | BTCUSD | weak_trend | high,30-60m,delta_momentum_burst_v1,BTCUSD,weak_trend,high,176,-1345.8061459121598,-7.6466258290463625,-13.927597968806017,-402.44614591215975,943.3599999999999,5.359999999999999,0.3068181818181818,0.6931818181818182,0.2958519559972368,10.4712665566499,15.66602081943651,13.716970033368574,15.309266085850624,96.47727272727273,1.6079545454545456,13.830557286653173,-21.477183115699532,0.017045454545454544,0.3068181818181818,-7.6466258290463625,-1345.8061459121598,13.716970033368574,15.309266085850624,1.6079545454545456,0.9343801569318398,-9.478010936632769,-5.815240721459956,-1.3635612587628216,1.1270491803278688
00-30m | delta_momentum_burst_v1 | ETHUSD | strong_trend | high,00-30m,delta_momentum_burst_v1,ETHUSD,strong_trend,high,384,-2927.251729104295,-7.623051377875768,-16.237655734348735,-869.0117291042953,2058.24,5.359999999999999,0.3046875,0.6953125,0.37549533850950684,15.043298562158421,17.555496857216596,24.321737947041697,23.868372652053335,81.5625,1.359375,19.876310704583034,-27.499362082458802,0.09375,0.3046875,-7.623051377875768,-2927.251729104295,24.321737947041697,23.868372652053335,1.359375,0.7911700568443515,-9.173744689290697,-6.07235806646084,-1.3399868075922274,2.459016393442623
01-04h | delta_momentum_burst_v1 | ETHUSD | strong_trend | medium,01-04h,delta_momentum_burst_v1,ETHUSD,strong_trend,medium,394,-2991.3391145704422,-7.592231255254929,-14.014923667020808,-879.4991145704423,2111.8399999999997,5.359999999999999,0.29441624365482233,0.7055837563451777,0.3227392427212495,12.288631588951304,15.887843089528033,15.663420460220765,16.9578961359427,85.1269035532995,1.418781725888325,14.991627809106761,-22.583859064361693,0.07614213197969544,0.29441624365482233,-7.592231255254929,-2991.3391145704422,15.663420460220765,16.9578961359427,1.418781725888325,0.6705206911134779,-8.906451809837346,-6.278010700672512,-1.3091666849713883,2.5230532786885242
00-30m | delta_momentum_burst_v1 | BTCUSD | weak_trend | high,00-30m,delta_momentum_burst_v1,BTCUSD,weak_trend,high,345,-2553.141925555217,-7.400411378420919,-13.907629162729553,-703.941925555217,1849.1999999999998,5.359999999999999,0.30144927536231886,0.6985507246376812,0.3305548673969879,12.12188574516871,15.824971132999016,14.226202225887512,16.395671161362223,91.30434782608695,1.5217391304347825,15.163709121004837,-22.564120499425755,0.03768115942028986,0.30144927536231886,-7.400411378420919,-2553.141925555217,14.226202225887512,16.395671161362223,1.5217391304347825,0.7183903090080901,-8.808456384076775,-5.992366372765062,-1.1173468081373779,2.2092725409836067
04h+ | delta_momentum_burst_v1 | ETHUSD | range | high,04h+,delta_momentum_burst_v1,ETHUSD,range,high,244,-1794.8465278337665,-7.355928392761338,-13.808941516994711,-487.00652783376654,1307.84,5.359999999999999,0.3073770491803279,0.6926229508196722,0.336171764225073,12.119133459692137,15.998707321364948,18.240308339199963,16.266967001185066,86.80327868852459,1.4467213114754098,15.520781299280838,-22.876709692042173,0.10245901639344263,0.3073770491803279,-7.355928392761338,-1794.8465278337665,18.240308339199963,16.266967001185066,1.4467213114754098,0.8583034694522632,-9.038203192887774,-5.673653592634902,-1.0728638224777969,1.5625
00-30m | delta_momentum_burst_v1 | BTCUSD | strong_trend | high,00-30m,delta_momentum_burst_v1,BTCUSD,strong_trend,high,222,-1631.899663221432,-7.350899383880325,-14.331258394159242,-441.97966322143236,1189.9199999999998,5.359999999999999,0.3063063063063063,0.6936936936936937,0.346200660202792,12.707729277034295,16.207956195193276,18.600743528980477,20.809130762734718,82.43243243243244,1.3738738738738738,16.257804600940013,-23.608703984820337,0.08108108108108109,0.3063063063063063,-7.350899383880325,-1631.899663221432,18.600743528980477,20.809130762734718,1.3738738738738738,0.9321848977687306,-9.177981783507036,-5.523816984253613,-1.0678348135967841,1.4216188524590163
30-60m | delta_momentum_burst_v1 | ETHUSD | weak_trend | medium,30-60m,delta_momentum_burst_v1,ETHUSD,weak_trend,medium,115,-842.7691501705223,-7.32842739278715,-13.48077283277035,-226.3691501705223,616.4,5.359999999999999,0.3217391304347826,0.6782608695652174,0.3169225265076674,10.5679330122158,15.817726559262907,14.814325036777376,14.189519642113954,93.3913043478261,1.556521739130435,14.120394532577983,-21.44882192536513,0.08695652173913043,0.3217391304347826,-7.32842739278715,-842.7691501705223,14.814325036777376,14.189519642113954,1.556521739130435,1.1993119152735596,-9.679078746723327,-4.977776038850973,-1.0453628225036091,0.7364241803278689
