feature,importance
expected_net_bps,40
atr_bps_at_entry,35
expected_move_bps,22
planned_stop_bps,20
change_point_bars_since_shift,16
planned_target_bps,16
scanner_id_delta_imbalance_fade_v1,16
scalper_probability,15
bb_width_percentile_at_entry,13
change_point_volatility_score,12
confidence,12
atr_percentile_at_entry,10
change_point_return_score,10
expected_fee_multiple,10
trend_direction_at_entry_down,7
trend_regime_at_entry_range,7
hour_utc_14,5
side_long,5
regime_at_entry_expanding,4
trend_direction_at_entry_up,4
scanner_id_delta_momentum_burst_v1,3
session_regime_at_entry_overlap,3
symbol_BTCUSD,3
trend_regime_at_entry_weak_trend,3
side_short,2
hour_utc_22,1
regime_at_entry_trending_down,1
session_regime_at_entry_europe,1
symbol_ETHUSD,1
trend_regime_at_entry_strong_trend,1
change_point_window_at_entry_00-30m,0
change_point_window_at_entry_01-04h,0
change_point_window_at_entry_04h+,0
change_point_window_at_entry_30-60m,0
cusum_alarm_recent_at_entry,0
hour_utc_00,0
hour_utc_01,0
hour_utc_02,0
hour_utc_03,0
hour_utc_04,0
hour_utc_05,0
hour_utc_06,0
hour_utc_07,0
hour_utc_08,0
hour_utc_09,0
hour_utc_10,0
hour_utc_11,0
hour_utc_12,0
hour_utc_13,0
hour_utc_15,0
hour_utc_16,0
hour_utc_17,0
hour_utc_18,0
hour_utc_19,0
hour_utc_20,0
hour_utc_21,0
hour_utc_23,0
regime_at_entry_quiet,0
regime_at_entry_trending_up,0
session_regime_at_entry_asia,0
session_regime_at_entry_us,0
trend_direction_at_entry_flat,0
volatility_regime_at_entry_high,0
volatility_regime_at_entry_low,0
volatility_regime_at_entry_medium,0
