feature,base_feature,mean_abs_shap,mean_shap,positive_contribution_rate
scanner_id_delta_imbalance_fade_v1,scanner_id,0.08649704616790028,0.004775295661787253,0.28757290264692686
expected_net_bps,expected_net_bps,0.021127563219010177,0.0029914473362107116,0.7110812023328847
planned_target_bps,planned_target_bps,0.018885724255353543,0.0015217297950347443,0.8999551368326604
scanner_id_delta_momentum_burst_v1,scanner_id,0.01760134756370316,0.0011470558509587018,0.28757290264692686
confidence,confidence,0.013499231345920229,0.003539073381219103,0.9035441902198296
expected_move_bps,expected_move_bps,0.013203816904326033,-6.810171894580385e-05,0.8407357559443697
scalper_probability,scalper_probability,0.012064139876293461,0.0008893125937938488,0.4517720951099148
planned_stop_bps,planned_stop_bps,0.01089302345441524,0.007916921523598675,0.7097353073126963
change_point_return_score,change_point_return_score,0.007526322903278748,-0.002624364053685895,0.6926873037236428
atr_bps_at_entry,atr_bps_at_entry,0.007093771221255399,0.0008687458098428481,0.7249887842081651
expected_fee_multiple,expected_fee_multiple,0.006629287722131933,0.0006831187724540424,0.6724988784208165
change_point_bars_since_shift,change_point_bars_since_shift,0.005220716446334594,-9.443937814442831e-05,0.5042620008972634
regime_at_entry_expanding,regime_at_entry,0.0045649194530321836,0.0009683812947253406,0.5334230596680125
atr_percentile_at_entry,atr_percentile_at_entry,0.004506042604843033,0.0007546384396159202,0.4154329295648273
trend_regime_at_entry_range,trend_regime_at_entry,0.004298374224170461,-0.0004286344005793521,0.22969941677882458
hour_utc_14,hour_utc,0.0034958924433276654,0.0008002040102115197,0.2458501570210857
trend_direction_at_entry_down,trend_direction_at_entry,0.0030215642038809616,0.0011127700016515926,0.6406460296096904
bb_width_percentile_at_entry,bb_width_percentile_at_entry,0.002761865410069591,-0.0012699950905629468,0.2732166890982503
session_regime_at_entry_overlap,session_regime_at_entry,0.002636276419448465,0.0005058578241489086,0.36922386720502465
trend_direction_at_entry_up,trend_direction_at_entry,0.0026284122435428596,0.00025001129798540774,0.39883355764917006
trend_regime_at_entry_strong_trend,trend_regime_at_entry,0.001829224296212731,-0.00018296459945226783,0.6375056078959175
side_short,side,0.0016833629003036837,0.0003147988464702453,0.506056527590848
side_long,side,0.0016266850217631613,0.0003164443832641335,0.5069537909376401
change_point_volatility_score,change_point_volatility_score,0.001569244969710646,-0.00011657546455517951,0.40915208613728127
symbol_BTCUSD,symbol,0.0015494867819914743,0.0001535061986167111,0.5697622252131
regime_at_entry_trending_down,regime_at_entry,0.0013696341095552425,0.0006810125681143028,0.9573799910273665
trend_regime_at_entry_weak_trend,trend_regime_at_entry,0.0011394989574706788,-1.0719378728146073e-06,0.5939883355764917
hour_utc_22,hour_utc,0.0005872528063620617,-8.956477987512288e-05,0.9627635711081203
symbol_ETHUSD,symbol,0.00044785553184220015,-8.63869656582871e-05,0.6617317182593091
session_regime_at_entry_europe,session_regime_at_entry,0.00022339684788752338,4.936726425858996e-06,0.13279497532525797
change_point_window_at_entry_00-30m,change_point_window_at_entry,0.0,0.0,0.0
change_point_window_at_entry_01-04h,change_point_window_at_entry,0.0,0.0,0.0
change_point_window_at_entry_04h+,change_point_window_at_entry,0.0,0.0,0.0
change_point_window_at_entry_30-60m,change_point_window_at_entry,0.0,0.0,0.0
cusum_alarm_recent_at_entry,cusum_alarm_recent_at_entry,0.0,0.0,0.0
hour_utc_00,hour_utc,0.0,0.0,0.0
hour_utc_01,hour_utc,0.0,0.0,0.0
hour_utc_02,hour_utc,0.0,0.0,0.0
hour_utc_03,hour_utc,0.0,0.0,0.0
hour_utc_04,hour_utc,0.0,0.0,0.0
hour_utc_05,hour_utc,0.0,0.0,0.0
hour_utc_06,hour_utc,0.0,0.0,0.0
hour_utc_07,hour_utc,0.0,0.0,0.0
hour_utc_08,hour_utc,0.0,0.0,0.0
hour_utc_09,hour_utc,0.0,0.0,0.0
hour_utc_10,hour_utc,0.0,0.0,0.0
hour_utc_11,hour_utc,0.0,0.0,0.0
hour_utc_12,hour_utc,0.0,0.0,0.0
hour_utc_13,hour_utc,0.0,0.0,0.0
hour_utc_15,hour_utc,0.0,0.0,0.0
hour_utc_16,hour_utc,0.0,0.0,0.0
hour_utc_17,hour_utc,0.0,0.0,0.0
hour_utc_18,hour_utc,0.0,0.0,0.0
hour_utc_19,hour_utc,0.0,0.0,0.0
hour_utc_20,hour_utc,0.0,0.0,0.0
hour_utc_21,hour_utc,0.0,0.0,0.0
hour_utc_23,hour_utc,0.0,0.0,0.0
regime_at_entry_quiet,regime_at_entry,0.0,0.0,0.0
regime_at_entry_trending_up,regime_at_entry,0.0,0.0,0.0
session_regime_at_entry_asia,session_regime_at_entry,0.0,0.0,0.0
session_regime_at_entry_us,session_regime_at_entry,0.0,0.0,0.0
trend_direction_at_entry_flat,trend_direction_at_entry,0.0,0.0,0.0
volatility_regime_at_entry_high,volatility_regime_at_entry,0.0,0.0,0.0
volatility_regime_at_entry_low,volatility_regime_at_entry,0.0,0.0,0.0
volatility_regime_at_entry_medium,volatility_regime_at_entry,0.0,0.0,0.0
