feature,base_feature,split_importance
expected_net_bps,expected_net_bps,40
atr_bps_at_entry,atr_bps_at_entry,35
expected_move_bps,expected_move_bps,22
planned_stop_bps,planned_stop_bps,20
change_point_bars_since_shift,change_point_bars_since_shift,16
planned_target_bps,planned_target_bps,16
scanner_id_delta_imbalance_fade_v1,scanner_id,16
scalper_probability,scalper_probability,15
bb_width_percentile_at_entry,bb_width_percentile_at_entry,13
change_point_volatility_score,change_point_volatility_score,12
confidence,confidence,12
atr_percentile_at_entry,atr_percentile_at_entry,10
change_point_return_score,change_point_return_score,10
expected_fee_multiple,expected_fee_multiple,10
trend_direction_at_entry_down,trend_direction_at_entry,7
trend_regime_at_entry_range,trend_regime_at_entry,7
hour_utc_14,hour_utc,5
side_long,side,5
regime_at_entry_expanding,regime_at_entry,4
trend_direction_at_entry_up,trend_direction_at_entry,4
scanner_id_delta_momentum_burst_v1,scanner_id,3
session_regime_at_entry_overlap,session_regime_at_entry,3
symbol_BTCUSD,symbol,3
trend_regime_at_entry_weak_trend,trend_regime_at_entry,3
side_short,side,2
hour_utc_22,hour_utc,1
regime_at_entry_trending_down,regime_at_entry,1
session_regime_at_entry_europe,session_regime_at_entry,1
symbol_ETHUSD,symbol,1
trend_regime_at_entry_strong_trend,trend_regime_at_entry,1
change_point_window_at_entry_00-30m,change_point_window_at_entry,0
change_point_window_at_entry_01-04h,change_point_window_at_entry,0
change_point_window_at_entry_04h+,change_point_window_at_entry,0
change_point_window_at_entry_30-60m,change_point_window_at_entry,0
cusum_alarm_recent_at_entry,cusum_alarm_recent_at_entry,0
hour_utc_00,hour_utc,0
hour_utc_01,hour_utc,0
hour_utc_02,hour_utc,0
hour_utc_03,hour_utc,0
hour_utc_04,hour_utc,0
hour_utc_05,hour_utc,0
hour_utc_06,hour_utc,0
hour_utc_07,hour_utc,0
hour_utc_08,hour_utc,0
hour_utc_09,hour_utc,0
hour_utc_10,hour_utc,0
hour_utc_11,hour_utc,0
hour_utc_12,hour_utc,0
hour_utc_13,hour_utc,0
hour_utc_15,hour_utc,0
hour_utc_16,hour_utc,0
hour_utc_17,hour_utc,0
hour_utc_18,hour_utc,0
hour_utc_19,hour_utc,0
hour_utc_20,hour_utc,0
hour_utc_21,hour_utc,0
hour_utc_23,hour_utc,0
regime_at_entry_quiet,regime_at_entry,0
regime_at_entry_trending_up,regime_at_entry,0
session_regime_at_entry_asia,session_regime_at_entry,0
session_regime_at_entry_us,session_regime_at_entry,0
trend_direction_at_entry_flat,trend_direction_at_entry,0
volatility_regime_at_entry_high,volatility_regime_at_entry,0
volatility_regime_at_entry_low,volatility_regime_at_entry,0
volatility_regime_at_entry_medium,volatility_regime_at_entry,0
