key,scanner_id,trend_regime_at_entry,volatility_regime_at_entry,change_point_window_at_entry,trades,average_net_bps,net_bps,profit_factor,win_rate,average_prediction_probability,shap_expected_move_bps,shap_expected_net_bps,shap_scalper_probability,shap_confidence,shap_expected_fee_multiple,shap_atr_percentile_at_entry,shap_atr_bps_at_entry,shap_bb_width_percentile_at_entry,shap_planned_stop_bps,shap_planned_target_bps,shap_change_point_bars_since_shift,shap_change_point_return_score,shap_change_point_volatility_score,shap_cusum_alarm_recent_at_entry,shap_scanner_id,shap_symbol,shap_side,shap_regime_at_entry,shap_trend_regime_at_entry,shap_trend_direction_at_entry,shap_volatility_regime_at_entry,shap_session_regime_at_entry,shap_change_point_window_at_entry,shap_hour_utc
delta_imbalance_fade_v1 | weak_trend | high | 00-30m,delta_imbalance_fade_v1,weak_trend,high,00-30m,69,-5.971876914992367,-412.05950713447334,0.4797084338393387,0.4057971014492754,0.40861146692138944,-0.011543103640112936,0.007192869644033054,0.010242835942174573,0.00526856309185718,0.0033920868901675797,-0.00496084459795589,-0.0035143233348776527,-0.0005766524222594512,0.013420151948528008,-0.00376721913460861,0.008731728996130768,-0.0034555040889353047,-9.427633085768381e-05,0.0,0.19978631176088266,0.001592076685927503,9.96595043210203e-05,0.0038121027517681702,-0.00215213334858592,0.0005218187053248791,0.0,0.00011815183175980756,0.0,-0.00014913047161389567
delta_imbalance_fade_v1 | weak_trend | high | 04h+,delta_imbalance_fade_v1,weak_trend,high,04h+,40,-5.88258511477532,-235.3034045910128,0.4178190743205047,0.45,0.3973089708042432,0.0008499430943928743,0.009402628868397359,0.008762372125046913,0.003970275886037992,0.004264596342511501,-0.004844023294456543,-0.017660022181178053,-0.001147966925378549,0.007582709260634743,0.014144929355784522,-0.017590675651831766,-0.009682151015482945,0.00055215911781051,0.0,0.17755622277860975,0.00028655829300596277,-0.0005643539895299487,0.0010934022852212358,-0.0020529703210305566,0.0018675142364902738,0.0,0.0004889036907135214,0.0,0.00016914719042748116
delta_imbalance_fade_v1 | strong_trend | high | 00-30m,delta_imbalance_fade_v1,strong_trend,high,00-30m,107,-6.475332694325023,-692.8605982927775,0.46571423324882527,0.38317757009345793,0.3971587456472147,-0.023218747290035736,0.000999940435102535,0.009086021601497806,0.00471227699156409,0.001866544851078543,-0.00557263153613887,-0.00752453860345333,0.0005485030388327077,0.014239559027591782,-0.018560125428629216,0.00852116694879124,-0.0016743992469581259,-0.0012211016554452914,0.0,0.18871338086934492,0.0014243422320266792,0.0005232948340696662,0.003814335416821939,-0.0021375131522991375,0.0013746629860382277,0.0,-0.00021288370946781986,0.0,-0.0003640284541226201
delta_momentum_burst_v1 | range | high | 30-60m,delta_momentum_burst_v1,range,high,30-60m,41,-5.171031024111404,-212.01227198856756,0.4423243575064878,0.36585365853658536,0.35816949093188494,0.004849455451334076,0.012687913201068619,-0.004810262150483637,0.013833968310620013,0.002975020886416885,-0.0018819268686610302,0.0027473504121284637,-0.0016317058009102635,0.008848171861608769,0.004789538706328535,0.004650044997708271,-0.00357670961148097,-0.00012567854977727565,0.0,-0.06529448294575699,-0.0009944781353517056,0.0006053730811052706,0.008685405461148215,0.015009081647357127,0.00041678384129947854,0.0,0.002736953453763059,0.0,0.008406114297522001
delta_momentum_burst_v1 | weak_trend | low | 01-04h,delta_momentum_burst_v1,weak_trend,low,01-04h,52,-6.644932476691617,-345.53648878796406,0.3200679271007063,0.3269230769230769,0.3482901168727014,0.005009712873473401,0.010710745242329938,0.0005226031908347566,1.2482942396367831e-05,0.0022834830154826614,0.007528917311728918,0.0049712281377626575,0.0010720731811378753,0.008622490864811526,0.002333915591467465,-0.0028690564554621056,0.003378149070330099,-0.0005007020609992388,0.0,-0.06936019639262508,-0.00010126571344015996,0.0008509059420669763,-0.0029757518138551747,-0.001613518327619856,0.0018443370043768326,0.0,-0.0009856538425149165,0.0,-0.0010258579319227458
delta_momentum_burst_v1 | range | medium | 01-04h,delta_momentum_burst_v1,range,medium,01-04h,79,-6.875575522615659,-543.1704662866371,0.3052621064067035,0.3291139240506329,0.3477994544851946,0.003914093777035216,0.01011759822083574,-0.0020959367903074016,0.001205134855886296,0.002152668092979026,0.003100462824433251,0.0022067251269587322,0.0006791573296157864,0.007816174796063917,0.0028211017826651366,-0.0019646742525042666,-0.002132169555388605,0.00022841733321087859,0.0,-0.07110941974340446,-0.00022060451619969446,0.00047760732698000043,-0.00044052986274496916,0.011014252572443532,0.0006769527616066872,0.0,-0.0006436593978378315,0.0,-0.0004551931940149012
delta_momentum_burst_v1 | range | low | 01-04h,delta_momentum_burst_v1,range,low,01-04h,42,-8.693210185567224,-365.1148277938234,0.17851755929227475,0.23809523809523808,0.3471963666174621,0.005035703885003621,0.012941440514109892,-0.0022929567375457646,-0.013263049257705418,0.0029861317252649795,0.009122349074513895,0.002956485742516489,0.0020508075455756922,0.00971242936723855,0.0046231486892255496,-0.0025636967564292537,0.002919733019292829,-0.0006084029175324831,0.0,-0.07003306801397878,0.0006522993983858807,0.0003792896018131227,-0.00572147852838591,0.00860708266564679,-3.263497644340306e-05,0.0,-0.000881871771528514,0.0,-0.0018753392182873647
delta_momentum_burst_v1 | strong_trend | high | 04h+,delta_momentum_burst_v1,strong_trend,high,04h+,79,-7.091347491331453,-560.2164518151848,0.3149771876475827,0.31645569620253167,0.3458111450149113,0.0036247062897395,0.011596829624667803,0.0015386530853252227,0.005215274039287686,0.002167974811526613,-0.002476378545773971,0.0027521585323621992,-0.0030157017733458257,0.007563650016237926,0.0009508504269298557,-0.004802525831616339,-0.007045875326186504,9.337390135803125e-05,0.0,-0.06183174743462162,-0.00041277921623771995,0.0009916436132753777,0.0009527490892657242,-0.0055766117583565256,0.0024852169728662526,0.0,0.000872565754557156,0.0,0.002476640972378269
delta_momentum_burst_v1 | strong_trend | medium | 01-04h,delta_momentum_burst_v1,strong_trend,medium,01-04h,84,-7.295520819079237,-612.8237488026559,0.2959612058682321,0.30952380952380953,0.3444791248480402,0.004441892407872457,0.010578869597391941,-0.0007230859925621204,0.0004833362040869332,0.0015342564556466282,0.002940014651432406,0.0023733950621071163,-0.000970658377005192,0.00993705530549435,0.00186595790252632,-0.0023017250592008553,0.0018475000236569282,0.0003614937160557138,0.0,-0.07362981407658038,0.00046821974744184564,0.0010986922093283332,-0.0019227629867777773,-0.005806267139836121,0.0011889760002269884,0.0,-0.0006819933017779146,0.0,-0.0005645318071749782
delta_momentum_burst_v1 | weak_trend | medium | 01-04h,delta_momentum_burst_v1,weak_trend,medium,01-04h,99,-6.898044229744352,-682.9063787446909,0.3171935060314346,0.32323232323232326,0.34447192071920707,0.004536574045785299,0.009414051334910472,-0.001899408524473724,-0.0008902433461106447,0.0018914087486148897,0.003162476604186647,0.004612606468689525,-0.0008358080955812084,0.008102465829949564,0.0025283723084292163,-0.0019661995336408516,-0.0017197948546998439,0.0004732060974423586,0.0,-0.07308310121398424,0.0001622687084473591,0.0017116881330807032,-0.0010262418131389557,-0.002360729694101882,0.0020972911500120664,0.0,-0.0010361759142166894,0.0,-0.001269440231713608
delta_momentum_burst_v1 | weak_trend | high | 30-60m,delta_momentum_burst_v1,weak_trend,high,30-60m,70,-7.855826993294599,-549.9078895306219,0.3004184725106339,0.3142857142857143,0.3440562763528369,0.003944981099083391,0.0004739473383565378,-0.006417306577443585,0.008348969216027563,-0.0003797690488097081,-0.0021836273405454287,0.004347458770227413,-0.0023780886620730552,0.008538846900555426,0.0013025840574628113,0.0038853221678625325,-0.005305865172441392,6.260448196596768e-05,0.0,-0.0705351340506362,-0.0008517416072816175,0.0016567989460484994,0.004941254056849811,-0.00529422038820347,0.001494029256260335,0.0,0.002478566173949677,0.0,0.002227741343506073
