feature,mean_abs_main_effect,mean_abs_off_diagonal_interactions,interaction_share
scanner_id,0.10509284477488973,0.05500267667421074,0.34356161981519184
planned_target_bps,0.020292967553919294,0.024681298259210324,0.5487871299947926
expected_net_bps,0.022164822568973265,0.024358317083615695,0.5235742313504884
planned_stop_bps,0.01742271024728041,0.01880206793412331,0.5190388700233781
atr_bps_at_entry,0.004722980787125111,0.017288904121368555,0.7854349681202146
scalper_probability,0.011297689609825105,0.015459128578257814,0.5777640850115383
expected_move_bps,0.014165324482785582,0.014368252541995231,0.5035559519760423
confidence,0.011768441516328408,0.010295354232504342,0.4666175462147759
change_point_bars_since_shift,0.00499382222447256,0.007968734615888616,0.6147502158738138
bb_width_percentile_at_entry,0.003072729505217785,0.007228358365769198,0.7017082522058541
expected_fee_multiple,0.008033865964677568,0.006915701851867026,0.46260212580951415
atr_percentile_at_entry,0.005248454567930228,0.006474417249029525,0.5522893494120472
trend_direction_at_entry,0.005698084869877257,0.006468523320951834,0.5316620063287365
change_point_return_score,0.008116627705041497,0.006354745083506452,0.43912524239133255
trend_regime_at_entry,0.005650573558602067,0.005395572458795707,0.48845746292848513
side,0.004050352459641441,0.00496776526981702,0.5508649830096346
hour_utc,0.003418095832440663,0.004629960731187944,0.5752892881136071
regime_at_entry,0.00529487052174538,0.004610128774107828,0.4654345382980379
symbol,0.0004087488495838372,0.0037429540660631074,0.9015467007421596
change_point_volatility_score,0.0018330053518592897,0.003008572407897452,0.621403302226135
session_regime_at_entry,0.0026136008764909373,0.0017599714317605261,0.4024105028377033
change_point_window_at_entry,0.0,0.0,0.0
cusum_alarm_recent_at_entry,0.0,0.0,0.0
volatility_regime_at_entry,0.0,0.0,0.0
