feature_a,feature_b,mean_abs_interaction,mean_signed_interaction
scanner_id,planned_target_bps,0.0113712761864622,-0.0008130517197154495
scanner_id,expected_net_bps,0.006187254710758681,6.83607613352616e-05
scanner_id,atr_bps_at_entry,0.005368841153492252,4.388368134194879e-05
planned_target_bps,planned_stop_bps,0.004556213814163695,-0.0037806198351882695
scalper_probability,planned_stop_bps,0.0036352078124383264,-0.0014805656715669642
scanner_id,expected_move_bps,0.00344388367632075,-0.00012801391951167243
scanner_id,confidence,0.003278324758441408,-0.001296999594538421
scanner_id,planned_stop_bps,0.0030741056887859655,0.001222876945090116
scanner_id,change_point_return_score,0.0028228111250089625,0.0007606921118267663
scanner_id,scalper_probability,0.0025915298742996322,-0.0016138112883136658
expected_net_bps,atr_bps_at_entry,0.0023725614947637244,-0.0011703152511571408
planned_target_bps,atr_bps_at_entry,0.0023564871251638498,-5.416536797857396e-05
expected_net_bps,expected_move_bps,0.002011178594599619,0.0017028636648971644
expected_net_bps,planned_stop_bps,0.001850779786332399,-0.001391958013120821
scanner_id,expected_fee_multiple,0.001810980634502514,7.52406840959371e-05
expected_net_bps,scalper_probability,0.0016676525905209676,-0.0004516700274589749
expected_move_bps,planned_stop_bps,0.0014954541287148942,-0.0010224908996310596
atr_bps_at_entry,expected_fee_multiple,0.00146452790666106,-0.0007111410641136571
planned_stop_bps,atr_bps_at_entry,0.0014060633062463186,-0.0009358887529168743
expected_move_bps,atr_bps_at_entry,0.0013999291816486341,-0.000115761521962138
expected_net_bps,planned_target_bps,0.0011758919451501303,0.0002993127624042672
expected_move_bps,scalper_probability,0.0011729145646618348,0.0002063261454231919
expected_net_bps,change_point_return_score,0.0010791252787243834,9.592478628482944e-05
planned_stop_bps,expected_fee_multiple,0.0008378965500833956,-0.0007138962368421446
planned_target_bps,scalper_probability,0.0008218276513761995,0.0002388623556306898
confidence,change_point_return_score,0.000755935697069531,-8.870344095897544e-05
planned_target_bps,change_point_return_score,0.0007260389346007555,0.00029078159050756737
expected_net_bps,confidence,0.0005886685841682332,-3.133779243574346e-05
expected_move_bps,expected_fee_multiple,0.00045693326294580193,0.00040216209374756284
planned_target_bps,expected_fee_multiple,0.00044347647273835144,0.000383259007108364
scalper_probability,expected_fee_multiple,0.000441326308976855,-9.161436814287287e-05
confidence,expected_fee_multiple,0.0003991416368701056,-2.244115068679065e-05
planned_target_bps,expected_move_bps,0.00030592389223885413,-0.0001258922355549902
scalper_probability,atr_bps_at_entry,0.000283383459811671,-0.0001311500911637158
planned_target_bps,confidence,0.00025025077680766126,-4.015939214531343e-05
confidence,planned_stop_bps,0.00013717406261673469,3.899832986406421e-05
confidence,expected_move_bps,0.00010851454722666756,-2.5056959462564324e-06
scalper_probability,change_point_return_score,0.00010143895910386865,2.1567381484538575e-05
expected_move_bps,change_point_return_score,7.355579195100793e-05,5.188979694156035e-07
planned_stop_bps,change_point_return_score,4.621938122838398e-05,1.796372559272793e-05
change_point_return_score,atr_bps_at_entry,0.0,0.0
change_point_return_score,expected_fee_multiple,0.0,0.0
confidence,atr_bps_at_entry,0.0,0.0
confidence,scalper_probability,0.0,0.0
expected_net_bps,expected_fee_multiple,0.0,0.0
